objectid,st_case,year,state,county,fatals,a_crainj,a_region,a_ru,a_inter,a_relrd,a_intsec,a_roadfc,a_junc,a_mancol,a_tod,a_dow,a_ct,a_weather,a_lt,a_mc,a_spcra,a_ped,a_ped_f,a_pedal,a_pedal_f,a_roll,a_polpur,a_posbac,a_d15_19,a_d16_19,a_d15_20,a_d16_20,a_d65_pls,a_d21_24,a_d16_24,a_rd,a_hr,a_dist,a_drowsy,bia,spj_indian,indian_res
115,10116,2020,1,73,1,1,4,1,2,1,2,3,2,3,1,1,2,13,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
116,10117,2020,1,25,1,1,4,1,2,1,2,5,2,4,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,0,0,0
117,10118,2020,1,73,1,1,4,2,2,1,2,4,2,3,2,1,2,13,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
118,10119,2020,1,41,1,1,4,1,2,4,2,5,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
119,10120,2020,1,89,1,1,4,2,2,1,1,3,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
120,10121,2020,1,71,1,1,4,1,2,1,2,4,2,3,1,2,2,13,2,2,1,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
121,10122,2020,1,101,1,1,4,2,2,1,1,6,1,7,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
122,10123,2020,1,73,1,1,4,2,2,1,2,3,2,1,2,1,1,13,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
123,10124,2020,1,121,1,1,4,1,2,1,2,3,2,4,1,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
124,10125,2020,1,121,1,1,4,1,2,4,2,5,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
125,10126,2020,1,133,1,1,4,1,2,4,2,3,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
126,10127,2020,1,95,2,1,4,1,2,1,2,4,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
127,10128,2020,1,81,2,1,4,2,2,1,2,5,2,4,2,1,2,13,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
128,10129,2020,1,79,1,1,4,1,2,1,1,3,1,4,2,1,2,13,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
129,10130,2020,1,113,1,1,4,2,2,1,2,4,2,4,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
130,10131,2020,1,29,1,1,4,1,2,1,2,4,2,1,2,1,2,13,2,2,2,1,1,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,2,0,0,0
131,10132,2020,1,51,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
